token,sentiment
,-0.4
'hood,-0.375
0,-0.375
101,-0.25
105,-0.25
300,-0.25
3tc,-0.25
400,-0.25
a-one,0.625
abandon,-0.3125
abandonment,-0.5
abase,-0.375
abasement,0.625
abash,-0.25
abashed,-0.375
abashment,-0.375
abasia,-0.5
abatable,0.625
abaxially,0.5
abbot,0.625
abdicable,0.375
abetalipoproteinemia,-0.75
abhorrence,-0.25
abhorrent,-0.375
abidance,0.625
abide,-0.375
abiding,0.25
abiotrophy,-0.25
abjectly,0.625
abjuration,-0.75
abjure,-0.75
ablate,-0.25
ablated,0.25
ablative,0.625
ablaut,0.5
able,-0.25
ablepharia,0.375
abloom,0.25
ably,0.625
abnormal,-0.333333333
abnormally,0.25
abolishable,0.625
abominable,-0.875
abort,0.375
abortive,-0.25
abortively,0.5
aboulic,-0.875
abounding,-0.375
about,0.375
above,-0.25
above-mentioned,-0.25
above-named,-0.25
abrade,-0.25
abraded,-0.375
abrase,-0.25
abrasion,-0.25
abrasive,-0.4375
abrasiveness,-0.25
abreact,-0.75
abruptly-pinnate,0.25
abscessed,-0.625
absconder,0.375
absence,-0.375
absentee,-0.5
absently,0.625
absentmindedly,0.625
absentmindedness,0.25
absolutely,0.375
absolutism,-0.4375
absolved,0.625
absolver,0.25
absolvitory,0.25
absorb,0.25
absorbable,0.5
absorbate,0.5
absorbefacient,0.5
absorbing,0.5
absorption,-0.375
abstain,-0.5
abstemious,0.625
abstemiously,0.5
abstemiousness,-0.375
abstention,0.25
abstentious,-0.625
abstinence,0.25
abstinent,-0.625
abstract,-0.375
abstractedly,0.625
abstractionism,-0.5
abstractionist,-0.875
abstractive,0.375
abstruse,0.25
abstrusely,-0.375
abstrusity,0.25
absurd,0.4375
absurdly,-0.25
abulic,-0.875
abuse,-0.4
abusive,-0.8125
abusively,0.5
abysmally,0.5
academically,0.375
academicism,-0.25
academism,-0.25
acanthocephalan,-0.25
acanthoid,0.25
acanthous,0.25
acardia,-0.375
acarpous,-0.375
acaryote,-0.5
acataphasia,-0.625
acathexia,-0.375
acathexis,-0.5
accelerative,-0.25
acceleratory,-0.25
accent,0.625
accept,0.3125
acceptable,0.40625
acceptably,0.5
acceptance,-0.25
accepted,0.229166667
accepting,0.375
accessible,0.375
accession,-0.25
accessorial,0.375
accessory,-0.375
accident,-0.75
accidentally,0.291666667
acclaim,0.3125
acclamation,0.375
acclimate,-0.375
acclimatise,-0.375
acclimatize,-0.375
accolade,0.25
accommodate,0.625
accommodating,0.25
accommodation,0.375
accommodative,0.5
accomplishable,0.25
accomplished,0.25
accordant,0.5
according,0.25
accordingly,0.5
account,0.25
accouterment,-0.375
accoutrement,-0.375
accretionary,-0.5
accretive,-0.25
acculturation,0.25
accumulation,-0.875
accumulative,0.25
accuracy,0.25
accurate,0.625
accurately,0.5
accusative,-0.625
accusatory,-0.625
accusing,-0.625
accusingly,0.5
accusive,-0.625
acellular,-0.375
acentric,-0.4375
acephalia,-0.375
acephalism,-0.375
acephaly,-0.375
acerb,-0.5
acerbic,-0.5
acetaminophen,-0.625
acetonuria,-0.375
acetose,-0.25
acetous,-0.25
achievable,0.25
aching,-0.375
achlamydeous,-0.625
achlorhydria,-0.625
achlorhydric,-0.25
acholia,-0.375
achondrite,-0.25
achondritic,-0.625
achondroplasia,-0.5
achondroplasty,-0.5
achromasia,-0.5
achromatic,-0.3125
achromatous,-0.375
achromia,-0.625
achy,-0.625
acid,-0.375
acid-forming,-0.5
acid-loving,-0.375
acidemia,-0.625
acidic,-0.25
acidulent,-0.375
acidulous,-0.375
acknowledgeable,0.625
acknowledgement,-0.375
acknowledgment,-0.375
acne,-0.625
acned,-0.375
acold,-0.5
acolyte,-0.25
acorea,-0.625
acoustically,0.5
acoustics,0.25
acquaintance,0.375
acquaintanceship,0.375
acquainted,0.375
acquiescence,0.5
acquiescent,0.25
acquirable,0.625
acquittal,0.75
acquitted,-0.25
acridity,-0.333333333
acridness,-0.3125
acrimonious,0.25
acrimony,0.375
acritical,-0.375
acromegalia,-0.25
acromegalic,-0.375
acromegaly,-0.25
acrophobia,0.25
acrophobic,-0.875
across,0.5
across-the-board,0.375
actable,0.625
acting,0.25
actinomycosis,-0.5
actinozoa,-0.625
actively,0.375
actualisation,0.5
actualization,0.5
actually,0.5
acumen,0.5
acuminate,0.25
acutely,0.625
acyclovir,-0.5
ad-lib,-0.333333333
ada-scid,-0.5
adactylia,-0.625
adactylism,-0.625
adactylous,-0.25
adactyly,-0.625
adamance,-0.375
adamant,-0.75
adamantine,-0.75
adaptative,0.25
adaptive,0.25
adaxially,0.5
add,0.375
addable,0.625
addible,0.625
addictive,-0.75
additive,-0.5
addle-head,-0.25
addled,-0.375
addlehead,-0.25
address,0.375
addressable,0.625
adenitis,-0.5
adenocarcinoma,-0.25
adenomyosis,-0.25
adept,0.4375
adeptness,0.25
adequacy,-0.25
adequately,0.5
adequateness,-0.25
adhd,0.375
adhere,0.5
adhesive,-0.375
adiabatic,-0.75
adjectivally,0.375
adjunct,-0.3125
adjuration,0.25
adjustable,0.625
adjustive,0.375
adjustment,0.375
administrable,0.75
administration,0.25
administrator,-0.5
admirability,0.875
admirable,0.8125
admirableness,0.875
admirably,0.75
admire,0.5
admired,0.25
admiring,0.5
admiringly,0.5
admissibility,-0.25
admissible,-0.5
admission,0.375
admittedly,-0.25
admonish,0.375
admonished,-0.25
admonishing,-0.625
admonishment,0.375
admonition,0.375
admonitory,-0.25
adoptable,0.625
adopted,0.625
adoptive,0.625
adorable,0.375
adorably,0.5
