token,sentiment
abandon,-0.4
abandoned,-0.4
abandons,-0.4
abducted,-0.4
abduction,-0.4
abductions,-0.4
aboard,0.2
absentee,-0.2
absentees,-0.2
abuse,-0.6
abused,-0.6
abuses,-0.6
accept,0.2
accepted,0.2
accepting,0.2
accepts,0.2
accident,-0.4
accidental,-0.4
accidentally,-0.4
accidents,-0.4
accomplish,0.4
accomplished,0.4
accomplishes,0.4
accusation,-0.4
accusations,-0.4
accuse,-0.4
accused,-0.4
ache,-0.4
achievable,0.2
acquitted,0.4
admit,-0.2
admits,-0.2
admitted,-0.2
adopt,0.2
adopts,0.2
advanced,0.2
affected,-0.2
afraid,-0.4
aggression,-0.4
aggressions,-0.4
aggressive,-0.4
agree,0.2
agreed,0.2
agrees,0.2
alarm,-0.4
alarmist,-0.4
alarmists,-0.4
alas,-0.2
alert,-0.2
alienation,-0.4
alive,0.2
allergic,-0.4
allow,0.2
alone,-0.4
amazed,0.4
amazing,0.8
ambitious,0.4
amuse,0.6
amused,0.6
amusement,0.6
amusements,0.6
anger,-0.6
angers,-0.6
annoy,-0.4
annoying,-0.4
annoys,-0.4
anti,-0.2
anxiety,-0.4
anxious,-0.4
apocalyptic,-0.4
apologise,-0.2
apologised,-0.2
apologises,-0.2
apologising,-0.2
apology,-0.2
appalling,-0.4
applauded,0.4
applaudes,0.4
applauding,0.4
applause,0.4
appreciation,0.4
approval,0.4
approved,0.4
approves,0.4
ardent,0.2
arrest,-0.4
arrested,-0.6
arrests,-0.4
arrogant,-0.4
ashamed,-0.4
ass,-0.8
assassination,-0.6
assassinations,-0.6
asset,0.4
assets,0.4
asshole,-0.8
attack,-0.2
attacked,-0.2
attacking,-0.2
attacks,-0.2
attract,0.2
attracting,0.4
attraction,0.4
attractions,0.4
attracts,0.2
avert,-0.2
averted,-0.2
averts,-0.2
avoid,-0.2
avoided,-0.2
avoids,-0.2
await,-0.2
awaited,-0.2
awaits,-0.2
award,0.6
awarded,0.6
awards,0.6
awesome,0.8
awful,-0.6
axe,-0.2
axed,-0.2
baby,0.4
backed,0.2
backing,0.4
backs,0.2
bad,-0.6
badly,-0.6
bailout,-0.4
bamboozle,-0.4
bamboozled,-0.4
bamboozles,-0.4
ban,-0.4
banish,-0.2
bankrupt,-0.6
bankster,-0.6
banned,-0.4
bargain,0.4
barrier,-0.4
bastard,-1.0
bastards,-1.0
battle,-0.2
battles,-0.2
beating,-0.2
beautiful,0.6
beloved,0.6
benefit,0.4
benefits,0.4
best,0.6
betrayal,-0.6
better,0.4
big,0.2
bitch,-1.0
bitches,-1.0
bizarre,-0.4
blah,-0.4
blame,-0.4
bless,0.4
blind,-0.2
bliss,0.6
block,-0.2
blockbuster,0.6
blocked,-0.2
blocking,-0.2
blocks,-0.2
bloody,-0.6
bomb,-0.2
boost,0.2
boosted,0.2
boosting,0.2
boosts,0.2
bored,-0.4
boring,-0.6
bother,-0.4
boycots,-0.4
boycott,-0.4
boycotted,-0.4
boycotting,-0.4
brainwashing,-0.6
brave,0.4
breakthrough,0.6
breathtaking,1.0
bribe,-0.6
brilliant,0.8
broke,-0.2
broked,-0.2
broken,-0.2
bullied,-0.4
bullshit,-0.8
bully,-0.4
bullying,-0.4
bummer,-0.4
burden,-0.4
calm,0.4
calmed,0.4
calming,0.4
calms,0.4
can't stand,-0.6
cancel,-0.2
cancels,-0.2
cancer,-0.2
care,0.4
carefree,0.2
careful,0.4
carefully,0.4
cares,0.4
cashing in,-0.4
casualty,-0.4
catastrophic,-0.8
celebrate,0.6
celebrated,0.6
celebrates,0.6
celebrating,0.6
censor,-0.4
censored,-0.4
censors,-0.4
certain,0.2
challenge,-0.2
chance,0.4
chances,0.4
chaos,-0.4
chaotic,-0.4
charged,-0.6
charges,-0.4
cheat,-0.6
cheated,-0.6
cheater,-0.6
cheaters,-0.6
cheats,-0.6
cheer,0.4
cheer,0.4
cheered,0.4
cheerful,0.4
cheering,0.4
cheers,0.6
cheers,0.4
cheery,0.6
cherish,0.4
cherished,0.4
cherishes,0.4
cherishing,0.4
chilling,-0.2
clarifies,0.4
clarity,0.4
clash,-0.4
clean,0.4
cleaner,0.4
clear,0.2
cleared,0.2
clears,0.2
clever,0.4
clueless,-0.4
cock,-1.0
cocksucker,-1.0
